答弁・約束台帳 バックフィル候補 159件（2026-07-08抽出・全件逐語検証済）
    「今後は、本年１月に国道３０６号で県が施工した防草対策の持続的効果を注視しながら、まずは道路改良を…」 回収時期: 不明（次の道路改良新規路線の設計時に確認・R8予算）
R0703-04 [検討約束] 団地周辺の緑地帯を活用した駐車場整備（理事）
    「余剰地となる緑地につきましては、住民の理解を得た上で、そのニーズを踏まえた利活用を市において現在…」 回収時期: 不明（継続フォロー・R8年度の利活用方針提示を確認）
R0703-05 [実施約束] 亀山IC周辺の新産業団地・概略設計（市長）
    「これまで重ねてまいりました亀山インターチェンジ周辺での産業団地確保の検討をさらに一段引き上げまし…」 回収時期: R7年度中の概略設計完了→2026-03議会で成果・事業化見通しを確認
■ R07-06
R0706-01 [検討約束] コストコ亀山の開業時期と協議継続（産業環境部長）
    「コストコからは令和８年以降、一定の条件が整い次第早期に開業したいと伺っております。本市といたしま…」 回収時期: R8（2026年）以降随時・議会ごとに進捗確認
R0706-02 [実施約束] ごみ袋有料化・指定袋は導入しない（産業環境部参事）
    「こうした中、本市では、市民、事業者の４Ｒの取組により、ごみ袋の有料化、指定袋の導入をせずとも、ご…」 回収時期: 次期ごみ処理施設基本構想・実施計画の確定時（R8〜）に方針維持を確認
R0706-03 [検討約束] 家庭ごみ自己搬入サービスの維持（産業環境部参事）
    「仮に現在の敷地内に新ごみ処理施設を建設する場合であっても、今までどおり市民、事業者の方にはごみの…」 回収時期: 基本構想〜施設設計段階（R8以降）でレイアウト・手数料方針を確認
R0706-04 [検討約束] 育休退園の見直し（両親同時取得・広域利用含む）（子ども未来部長）
    「今後の取扱いにつきましては、他市の状況や本市における保育ニーズなどを踏まえながら、保育サービスの…」 回収時期: R8年度入所調整方針・次年度の運用変更有無を確認（2026-03議会）
R0706-05 [実施約束] 産後ケア・通所型/宿泊型の拡充（子ども未来部長）
    「今後につきましては、通所型及び宿泊型の拡充に向けて、事業の受皿となる実施機関の確保や制度設計等に…」 回収時期: R8予算（実施機関確保・制度設計の予算化）／第3期子ども・子育て支援事業計画期間内
R0706-06 [調査約束] 獣害対策DX・全鳥獣出没情報の可視化（産業環境部長）
    「ほかの野生鳥獣につきましても、出没情報を可視化することで遭遇による被害を避けたり、効果的な被害予…」 回収時期: 不明（R8予算での事業化有無を確認）
■ R07-09
R0709-01 [検討約束] おたふく風邪ワクチン2回目接種の費用助成（市長）
    「ワクチンの２回目接種の必要性は高いと認識をいたしておりますので、先月の保健衛生懇談会でもお話をさ…」 回収時期: R8予算（草川試算では対象約300人・約90万円規模）
R0709-02 [調査約束] 妊婦事前登録型救急搬送支援システム（ママ・サポート119）（子ども未来部長）
    「分娩可能な産科医療機関がない本市におきましても、妊婦の安心を支える施策の充実は重要な課題でありま…」 回収時期: 不明（消防本部との連携体制・事前登録の仕組みの検討状況を2026年中に確認）
R0709-03 [検討約束] 菅内交差点周辺の新産業拠点位置づけ（次期総合計画）（政策部長）
    「こうした状況も勘案しつつ、次期総合計画における都市空間形成と土地利用の方針において、当該地域の位…」 回収時期: 第3次総合計画最終案の公表時（R8）
R0709-04 [実施約束] 長期財政見通しの見直しと将来負担の可視化（総務財政部参事）
    「現在の長期財政見通しは令和７年度まででございますので、現在策定いたします第３次亀山市総合計画の策…」 回収時期: 第3次総合計画策定と同時（R8）
R0709-05 [ゼロ回答] 人口減少地域への地域別振興施策（次期総合計画）（政策部長）
    「当該計画におけます関連分野におきまして、人口減対策に有効な施策を位置づけていくということは考えて…」 回収時期: 第3次総合計画最終案（R8）で再確認
■ R07-12
R0712-01 [数字約束] 太陽光発電施設規制の市独自条例の3月議会提案（市長）
    「国・県の動向もしっかり見極めて、今議員からお話がありました、既に議会からも提言もいただいておりま…」 回収時期: 2026-03議会（条例案提案）
R0712-02 [実施約束] 太陽光の推進と規制を分ける行政内チェック体制（市長）
    「この環境保全条例を軸にして、先ほどの新たな条例も含めて制度をしっかり構築していくという中で今おっ…」 回収時期: 2026-03議会（条例提案時の執行体制説明）
R0712-03 [検討約束] 濁り水影響地域の水質データ公表頻度の見直し（上下水道部長）
    「水質検査の公表につきましては、法令上、毎年１回以上を定期に情報提供することが定められており、本市…」 回収時期: 早期（2026-03議会までに公表頻度の変更有無を確認）
R0712-04 [ゼロ回答] 濁り水による二次的損害（給湯器等）への補償（上下水道部長）
    「給湯器等の特殊器具については、設置時に障害や故障等の処理について異議を申し立てない旨の誓約書もい…」 回収時期: 不明（洗管未実施・老朽化に係る市の瑕疵論点で再質問余地）
R0712-05 [実施約束] 太岡寺町事業用地の誘致業種の質の担保（産業環境部長）
    「その際の企業誘致につきましては、持続可能な財政運営を行うための安定した税財源の確保や雇用の拡充と…」 回収時期: 不明（コストコの建設判断・進出企業の確定時に検証）
■ R08-03
R0803-01 [検討約束] 深谷新道の必要性再評価（理事）
    「現時点におきましては深谷新道を拠点を結ぶ重要なネットワークとしては考えておりません。しかしながら…」 回収時期: 不明（沿道拠点の拡大・リニア候補地等の状況変化待ち）
R0803-02 [実施約束] かわまちづくりワークショップへの若者参加（建設部長）
    「ワークショップにつきましては、地域の皆様の意見を幅広く反映することを目的に、年代や立場の異なる多…」 回収時期: R8年度（かわまち支援制度は6月登録募集・8月可否決定）
R0803-03 [検討約束] 市道川合28号線の拡幅検討（建設部長）
    「川合２８号線の国道１号までの拡幅につきましては、川合９号線の完了後、交通状況を把握しながら検討し…」 回収時期: 川合9号線完了後（完成予定は令和10年度に1年遅延）
R0803-04 [検討約束] 鈴鹿亀山道路IC周辺の土地利用計画（理事）
    「その時期につきましては、鈴鹿亀山道路の整備状況を注視しつつ、現在策定を進めております次期都市マス…」 回収時期: 次期都市マスタープラン策定時（位置づけの有無を要確認）
R0803-05 [調査約束] 亀山版デジタル地域通貨の研究（市長）
    「他市の事例もしっかり見極めさせていただく中で、それから既存ポイントの事業との競合が当然もう既に、…」 回収時期: 不明（Kカードの方向性は本年度中に決定と産業環境部長が答弁済み）
R0803-06 [実施約束] 次期水道ビジョン検討委員会の立ち上げ（上水道課長）
    「令和9年度に予定しております次期亀山市水道ビジョンの策定に向け、令和8年度には検討委員会を立ち上…」 回収時期: R8年度中に検討委員会立ち上げ／R9年度に次期水道ビジョン策定
R0803-07 [数字約束] 亀山配水系の耐震補強スケジュール（上水道課長）
    「亀山排水系につきましては、亀山市上下水道耐震化計画に基づき、令和7年度に耐震診断業務を実施し、令…」 回収時期: R8年度詳細設計→R10〜R11年度耐震補強工事
R0803-08 [実施約束] 防災アプリ自治会情報発信機能の展開（防災安全課長）
    「現在その手引きを作成しておりまして、4月早々からまちづくり協議会単位で各自治会へご説明に伺えるよ…」 回収時期: 2026年4月早々に自治会向け説明開始／インストール目標2万人（第三次総合計画前期）
R0803-09 [検討約束] つながる連絡システムの運用改善（学校教育課長）
    「今後は学校が配信するもので、特に緊急度や重要度が高いものにつきましては、掲示板等を利用するなど、…」 回収時期: R8年度中（運用改善）
■ R08-06
R0806-01 [実施約束] 太陽光条例：生物多様性・景観の規則規定（産業環境部長）
    「生物多様性・景観は許可基準には規定しないが規則で規定予定。事前協議の届出で生態系・景観への配慮事…」 回収時期: 条例施行規則の制定時（公布の日から施行）
R0806-02 [実施約束] 太陽光条例：廃棄費用積立ての履行確認（産業環境部長）
    「積立てを義務化し不適切事案には行政措置を段階的に（第23条勧告→第27条命令→第25条公表）。運…」 回収時期: 条例施行後の運用（事前協議・許可申請時ごと）
R0806-03 [調査約束] 太陽光条例：施行後の効果検証（産業環境部長）
    「住民からの苦情相談の件数・内容の推移、パトロール等での草刈り等維持管理状況も勘案し効果を検証。初…」 回収時期: 施行1年後（2027年前半）の運用実績確認が目安
R0806-04 [ゼロ回答] 太陽光条例：住民同意の許可要件化は不可（産業環境部長）
    「都市計画法の開発許可の議論と同様、法律に違反しない限り土地所有者の財産権を守る観点から近隣住民等…」 回収時期: 不明（運用での「誠実さ」判断・協定遵守チェックの仕組みが代替回収点）
R0806-05 [数字約束] 部活動地域展開：12月末めどの制度設計（教育長）
    「認定クラブの要件が高水準で、市の要件作成・金銭支援の整理が必要。休日地域展開の経費見積りを行い、…」 回収時期: 2026年12月末（年内に保護者・関係団体へ説明できる制度設計）
R0806-06 [実施約束] 部活動地域展開：全庁的推進体制と保護者負担サポート（市長）
    「保護者の財政面・送迎等の負担はしっかりサポートする。9年度スタートに向け教委の制度設計が機能する…」 回収時期: R9年度当初予算編成（2026年秋〜冬）での裏づけ確認
R0806-07 [ゼロ回答] 中学校給食：補食（主食持参）容認は拒否（教育長）
    「献立は文科省の学校給食実施基準に基づき年齢別の必要栄養価を計算して決定。補食は生徒により食べる物…」 回収時期: 教育民生委員会で継続フォロー（草川が議場で明言）
R0806-08 [実施約束] JR井田川駅周辺の浸水対策（建設部長）
    「今年度、排水不良解消に向け現地測量・設計業務を委託予定。現地の地形・既存施設状況を正確に把握し、…」 回収時期: R8年度に測量・設計委託→R9年度以降施工（R9当初予算で回収）
R0806-09 [検討約束] JR亀山駅前送迎ゾーンの停車枠明示（建設部長）
    「市内外の多くが利用し利便性と安全性の両立が重要。今後、利用状況・交通量の変化を踏まえ、より効果的…」 回収時期: 不明（低コスト施策のため次年度までの現地変化を確認）
R0806-10 [検討約束] 草津線直通（京都直通）の具現化（市長）
    「将来の本市リニア駅整備を見据え、草津線沿線自治体からの連携の期待感も強く聞く。今後も関西本線沿線…」 回収時期: 不明（関西本線活性化利用促進三重県会議の取組・草津線沿線連携の動きを注視）
